OBJECTID_;WardID_;WardNo_;HVI_PC1;HVI_weighted;HVI_PC1_standardized;HVI_weighted_standardized
2493;79800104;104;4.525716010009157;1.6947035659201852;0.8904331551819958;0.917112939623952
2494;79800105;105;-2.0591707825493124;-0.6638029686472974;0.23417788575890336;0.27544848759338814
2495;79800106;106;4.3338177971025615;1.1671609337101512;0.8713084204097677;0.7735876412800616
2496;79800107;107;-3.9387110047458007;-1.561331016460541;0.04686135112948238;0.03126351946152707
2497;79800108;108;-2.7989379929483675;-1.2401868266371157;0.160452073111762;0.1186352555859035
2498;79800109;109;1.8489114106508557;0.3076015940082415;0.6236605926635252;0.539732587408555
2499;79800110;110;-0.7118107781794168;-0.3099065426635348;0.36845689928376857;0.3717309243499561
2500;79800111;111;-2.219884918142902;-1.0276365246076578;0.2181609819492189;0.17646251664357712
2501;79800112;112;2.7872659072834574;0.44419783421210485;0.7171777786685921;0.5768954912781095
2502;79800113;113;-2.477057367831539;-1.1895753209629225;0.19253096269826694;0.1324048184761876
2503;79800114;114;-2.753428926584305;-1.1584122110710375;0.16498754434289875;0.14088317524105942
2504;79800115;115;3.8027921146213832;1.1390056484692082;0.8183859612535844;0.7659276049769582
2505;79800116;116;-4.408919331461775;-1.6762434363557872;0.0;0.0
2506;79800117;117;5.295098633663379;1.8502450567776634;0.9671104644329678;0.9594301620001807
2507;79800118;118;3.1120844813322823;0.9755680929544747;0.7495494666780096;0.7214621485690502
2508;79800119;119;-0.15699440666106856;-0.1296374182714912;0.4237503582058846;0.4207756427875342
2509;79800120;120;-0.2144511577520722;-0.2167880619471983;0.4180241708232839;0.3970651000357251
2510;79800121;121;-2.630696386344238;-0.9477078102989966;0.17721917091440606;0.19820823323018813
2511;79800122;122;-1.4192526835969304;-0.419322306455692;0.29795265329344783;0.34196284650569636
2512;79800123;123;0.13030369936570552;0.0678571051773074;0.4523827253087501;0.47450677022367266
2513;79800124;124;0.8085842284448895;0.18605325607476572;0.5199807243902727;0.5066636743009589
2514;79800125;125;2.3063604225148344;0.5717969131858667;0.6692503399113262;0.6116105925039445
2515;79800126;126;4.145633158330382;1.1750577879459543;0.8525537835102714;0.7757360901275486
2516;79800127;127;-1.6883452870319768;-0.7257207691342882;0.2711346616513448;0.2586028902044842
2517;79800128;128;-1.2284425296077863;-0.4407288045523599;0.31696895121315055;0.3361389114562178
2518;79800129;129;-1.1101447970224914;0.059935287264687866;0.32875860118217304;0.472351529661272
2519;79800130;130;-2.608054035225149;-0.53456971314969;0.1794757263727052;0.31060818923407285
2520;79800131;131;-2.3757707229667746;-0.5456989175867506;0.2026252735814554;0.3075803346311802
2521;79800132;132;3.3933635400479902;0.9929026601004063;0.7775819705426402;0.7261782582621367
2522;79800133;133;-3.8147075405371575;-1.4492797450732764;0.05921963903590539;0.061748623742665924
2523;79800134;134;3.849089868918299;1.2105892647676135;0.8230000337770699;0.7854029217731042
2524;79800135;135;-0.40724016580784383;-0.5121370165047539;0.3988106586689931;0.31671131584800044
